id,sku,ean,name,description,category_id,supplier_id,product_type,variant,colour,unit,case_pack,min_order_qty,weight_kg,active,discontinued_on,created_at
17,FJV-TNT-0017,6402026000172,Fjellvind Kaldo Pro Tent 1P Forest,Reliable tent from Fjellvind's Kaldo Pro range. 1P / Forest. A wholesale staple for outdoor retailers.,1,1,Tent,1P,Forest,pcs,1,1,1.648,true,,2023-03-08
18,FJV-TNT-0018,6402026000189,Fjellvind Helags Plus Footprint 3P Ruby Red,"Fjellvind Helags Plus: a footprint that balances weight, durability and price. 3P / Ruby Red. Retail-ready packaging.",1,1,Footprint,3P,Ruby Red,pcs,12,12,1.583,true,,2025-07-03
19,FJV-TNT-0019,6402026000196,Fjellvind Helags Plus Footprint 4P Ruby Red,The Helags Plus footprint by Fjellvind. 4P / Ruby Red. Popular with rental outfitters and clubs.,1,1,Footprint,4P,Ruby Red,pcs,1,1,1.066,true,,2019-11-17
20,FJV-TNT-0020,6402026000202,Fjellvind Helags Plus Footprint 1P Ruby Red,"Fjellvind Helags Plus Footprint for tents & shelters. 1P / Ruby Red. Built for Nordic conditions, season after season.",1,1,Footprint,1P,Ruby Red,pcs,6,6,1.536,true,,2022-11-06
21,FJV-TNT-0021,6402026000219,Fjellvind Helags Plus Footprint 2P Ruby Red,Reliable footprint from Fjellvind's Helags Plus range. 2P / Ruby Red. A wholesale staple for outdoor retailers.,1,1,Footprint,2P,Ruby Red,pcs,1,1,0.362,true,,2024-05-08
22,FJV-TNT-0022,6402026000226,Fjellvind Senja Eco Bivy Burnt Orange,"Fjellvind Senja Eco: a bivy that balances weight, durability and price. Burnt Orange. Retail-ready packaging.",1,1,Bivy,Burnt Orange,Burnt Orange,pcs,1,1,2.303,true,,2022-11-09
23,FJV-TNT-0023,6402026000233,Fjellvind Senja Eco Bivy Deep Teal,The Senja Eco bivy by Fjellvind. Deep Teal. Popular with rental outfitters and clubs.,1,1,Bivy,Deep Teal,Deep Teal,pcs,1,1,2.546,true,,2024-08-27
24,FJV-TNT-0024,6402026000240,Fjellvind Senja Eco Bivy Black,"Fjellvind Senja Eco Bivy for tents & shelters. Black. Built for Nordic conditions, season after season.",1,1,Bivy,Black,Black,pcs,1,1,1.178,true,,2026-03-06
25,FJV-TNT-0025,6402026000257,Fjellvind Senja Eco Bivy Graphite,Reliable bivy from Fjellvind's Senja Eco range. Graphite. A wholesale staple for outdoor retailers.,1,1,Bivy,Graphite,Graphite,pcs,6,6,1.088,true,,2023-12-17
26,FJV-TNT-0026,6402026000264,Fjellvind Senja Eco Bivy Arctic White,"Fjellvind Senja Eco: a bivy that balances weight, durability and price. Arctic White. Retail-ready packaging.",1,1,Bivy,Arctic White,Arctic White,pcs,1,1,1.177,true,,2022-04-03
27,FJV-TNT-0027,6402026000271,Fjellvind Nordkapp Eco Tunnel Tent 1P Petrol,The Nordkapp Eco tunnel tent by Fjellvind. 1P / Petrol. Popular with rental outfitters and clubs.,1,1,Tunnel Tent,1P,Petrol,pcs,6,6,8.585,true,,2022-03-02
28,FJV-TNT-0028,6402026000288,Fjellvind Nordkapp Eco Tunnel Tent 3P Petrol,"Fjellvind Nordkapp Eco Tunnel Tent for tents & shelters. 3P / Petrol. Built for Nordic conditions, season after season.",1,1,Tunnel Tent,3P,Petrol,pcs,1,1,7.435,true,,2022-06-30
29,FJV-TNT-0029,6402026000295,Fjellvind Nordkapp Eco Tunnel Tent 2P Petrol,Reliable tunnel tent from Fjellvind's Nordkapp Eco range. 2P / Petrol. A wholesale staple for outdoor retailers.,1,1,Tunnel Tent,2P,Petrol,pcs,1,1,7.326,true,,2024-08-23
30,FJV-TNT-0030,6402026000301,Fjellvind Nordkapp Eco Tunnel Tent 4P Petrol,"Fjellvind Nordkapp Eco: a tunnel tent that balances weight, durability and price. 4P / Petrol. Retail-ready packaging.",1,1,Tunnel Tent,4P,Petrol,pcs,1,1,5.529,true,,2025-01-27
31,FJV-TNT-0031,6402026000318,Fjellvind Kilpis XT Tunnel Tent 2P Sand,The Kilpis XT tunnel tent by Fjellvind. 2P / Sand. Popular with rental outfitters and clubs.,1,1,Tunnel Tent,2P,Sand,pcs,1,1,5.881,true,,2023-12-14
32,FJV-TNT-0032,6402026000325,Fjellvind Kilpis XT Tunnel Tent 4P Sand,"Fjellvind Kilpis XT Tunnel Tent for tents & shelters. 4P / Sand. Built for Nordic conditions, season after season.",1,1,Tunnel Tent,4P,Sand,pcs,1,1,3.655,true,,2019-09-04
33,FJV-TNT-0033,6402026000332,Fjellvind Kilpis XT Tunnel Tent 3P Sand,Reliable tunnel tent from Fjellvind's Kilpis XT range. 3P / Sand. A wholesale staple for outdoor retailers.,1,1,Tunnel Tent,3P,Sand,pcs,1,1,6.852,true,,2021-07-03
34,FJV-TNT-0034,6402026000349,Fjellvind Kilpis XT Tunnel Tent 1P Sand,"Fjellvind Kilpis XT: a tunnel tent that balances weight, durability and price. 1P / Sand. Retail-ready packaging.",1,1,Tunnel Tent,1P,Sand,pcs,1,1,5.203,true,,2021-08-20
35,FJV-TNT-0035,6402026000356,Fjellvind Summit Footprint 3P Petrol,The Summit footprint by Fjellvind. 3P / Petrol. Popular with rental outfitters and clubs.,1,1,Footprint,3P,Petrol,pcs,1,1,1.403,true,,2021-12-03
36,FJV-TNT-0036,6402026000363,Fjellvind Summit Footprint 1P Petrol,"Fjellvind Summit Footprint for tents & shelters. 1P / Petrol. Built for Nordic conditions, season after season.",1,1,Footprint,1P,Petrol,pcs,12,12,1.921,true,,2024-03-12
37,FJV-TNT-0037,6402026000370,Fjellvind Summit Footprint 4P Petrol,Reliable footprint from Fjellvind's Summit range. 4P / Petrol. A wholesale staple for outdoor retailers.,1,1,Footprint,4P,Petrol,pcs,12,12,0.274,true,,2024-12-05
38,FJV-TNT-0038,6402026000387,Fjellvind Summit Footprint 2P Petrol,"Fjellvind Summit: a footprint that balances weight, durability and price. 2P / Petrol. Retail-ready packaging.",1,1,Footprint,2P,Petrol,pcs,6,6,1.716,true,,2021-01-11
39,FJV-TNT-0039,6402026000394,Fjellvind Kebnekaise Eco Footprint 2P Arctic White,The Kebnekaise Eco footprint by Fjellvind. 2P / Arctic White. Popular with rental outfitters and clubs.,1,1,Footprint,2P,Arctic White,pcs,6,6,0.501,true,,2025-07-01
40,FJV-TNT-0040,6402026000400,Fjellvind Kebnekaise Eco Footprint 4P Arctic White,"Fjellvind Kebnekaise Eco Footprint for tents & shelters. 4P / Arctic White. Built for Nordic conditions, season after season.",1,1,Footprint,4P,Arctic White,pcs,6,6,1.665,true,,2022-04-20
41,FJV-TNT-0041,6402026000417,Fjellvind Kebnekaise Eco Footprint 1P Arctic White,Reliable footprint from Fjellvind's Kebnekaise Eco range. 1P / Arctic White. A wholesale staple for outdoor retailers.,1,1,Footprint,1P,Arctic White,pcs,1,1,0.713,true,,2020-06-27
42,FJV-TNT-0042,6402026000424,Fjellvind Kebnekaise Eco Footprint 3P Arctic White,"Fjellvind Kebnekaise Eco: a footprint that balances weight, durability and price. 3P / Arctic White. Retail-ready packaging.",1,1,Footprint,3P,Arctic White,pcs,1,1,0.780,true,,2024-06-26
43,FJV-TNT-0043,6402026000431,Fjellvind Kaamos Lite Tent 1P Midnight Blue,The Kaamos Lite tent by Fjellvind. 1P / Midnight Blue. Popular with rental outfitters and clubs.,1,1,Tent,1P,Midnight Blue,pcs,1,1,1.314,true,,2023-12-22
44,FJV-TNT-0044,6402026000448,Fjellvind Kaamos Lite Tent 3P Midnight Blue,"Fjellvind Kaamos Lite Tent for tents & shelters. 3P / Midnight Blue. Built for Nordic conditions, season after season.",1,1,Tent,3P,Midnight Blue,pcs,1,1,3.802,true,,2025-04-28
45,FJV-TNT-0045,6402026000455,Fjellvind Kaamos Lite Tent 4P Midnight Blue,Reliable tent from Fjellvind's Kaamos Lite range. 4P / Midnight Blue. A wholesale staple for outdoor retailers.,1,1,Tent,4P,Midnight Blue,pcs,1,1,3.141,true,,2020-12-17
46,FJV-TNT-0046,6402026000462,Fjellvind Tundra Pro Bivy Sand,"Fjellvind Tundra Pro: a bivy that balances weight, durability and price. Sand. Retail-ready packaging.",1,1,Bivy,Sand,Sand,pcs,1,1,1.151,true,,2019-07-26
47,FJV-TNT-0047,6402026000479,Fjellvind Tundra Pro Bivy Slate Grey,The Tundra Pro bivy by Fjellvind. Slate Grey. Popular with rental outfitters and clubs.,1,1,Bivy,Slate Grey,Slate Grey,pcs,1,1,3.541,true,,2023-02-12
48,FJV-TNT-0048,6402026000486,Fjellvind Padjelanta Eco Tunnel Tent 3P Sand,"Fjellvind Padjelanta Eco Tunnel Tent for tents & shelters. 3P / Sand. Built for Nordic conditions, season after season.",1,1,Tunnel Tent,3P,Sand,pcs,1,1,8.032,true,,2022-11-01
49,FJV-TNT-0049,6402026000493,Fjellvind Padjelanta Eco Tunnel Tent 4P Sand,Reliable tunnel tent from Fjellvind's Padjelanta Eco range. 4P / Sand. A wholesale staple for outdoor retailers.,1,1,Tunnel Tent,4P,Sand,pcs,1,1,6.905,true,,2022-10-20
50,FJV-TNT-0050,6402026000509,Fjellvind Padjelanta Eco Tunnel Tent 1P Sand,"Fjellvind Padjelanta Eco: a tunnel tent that balances weight, durability and price. 1P / Sand. Retail-ready packaging.",1,1,Tunnel Tent,1P,Sand,pcs,6,6,4.331,true,,2021-11-16
51,FJV-TNT-0051,6402026000516,Fjellvind Padjelanta Eco Tunnel Tent 2P Sand,The Padjelanta Eco tunnel tent by Fjellvind. 2P / Sand. Popular with rental outfitters and clubs.,1,1,Tunnel Tent,2P,Sand,pcs,1,1,6.537,true,,2024-04-09
52,FJV-TNT-0052,6402026000523,Fjellvind Saana 2.0 Tarp Sunset Yellow,"Fjellvind Saana 2.0 Tarp for tents & shelters. Sunset Yellow. Built for Nordic conditions, season after season.",1,1,Tarp,Sunset Yellow,Sunset Yellow,pcs,1,1,2.203,true,,2022-05-05
53,FJV-TNT-0053,6402026000530,Fjellvind Saana 2.0 Tarp Ochre,Reliable tarp from Fjellvind's Saana 2.0 range. Ochre. A wholesale staple for outdoor retailers.,1,1,Tarp,Ochre,Ochre,pcs,1,1,1.732,true,,2025-12-15
54,FJV-TNT-0054,6402026000547,Fjellvind Saana 2.0 Tarp Graphite,"Fjellvind Saana 2.0: a tarp that balances weight, durability and price. Graphite. Retail-ready packaging.",1,1,Tarp,Graphite,Graphite,pcs,1,1,0.700,true,,2020-05-16
55,FJV-TNT-0055,6402026000554,Fjellvind Saana 2.0 Tarp Forest,The Saana 2.0 tarp by Fjellvind. Forest. Popular with rental outfitters and clubs.,1,1,Tarp,Forest,Forest,pcs,1,1,1.784,true,,2025-02-15
56,FJV-TNT-0056,6402026000561,Fjellvind Saana 2.0 Tarp Burnt Orange,"Fjellvind Saana 2.0 Tarp for tents & shelters. Burnt Orange. Built for Nordic conditions, season after season.",1,1,Tarp,Burnt Orange,Burnt Orange,pcs,12,12,2.192,true,,2019-07-14
57,FJV-TNT-0057,6402026000578,Fjellvind Storm Plus Tarp Moss Green,Reliable tarp from Fjellvind's Storm Plus range. Moss Green. A wholesale staple for outdoor retailers.,1,1,Tarp,Moss Green,Moss Green,pcs,6,6,1.796,true,,2022-04-14
58,FJV-TNT-0058,6402026000585,Fjellvind Tuuli Tunnel Tent 3P Slate Grey,"Fjellvind Tuuli: a tunnel tent that balances weight, durability and price. 3P / Slate Grey. Retail-ready packaging.",1,1,Tunnel Tent,3P,Slate Grey,pcs,1,1,7.213,true,,2019-03-16
59,FJV-TNT-0059,6402026000592,Fjellvind Tuuli Tunnel Tent 1P Slate Grey,The Tuuli tunnel tent by Fjellvind. 1P / Slate Grey. Popular with rental outfitters and clubs.,1,1,Tunnel Tent,1P,Slate Grey,pcs,1,1,7.283,true,,2023-12-15
60,FJV-TNT-0060,6402026000608,Fjellvind Tuuli Tunnel Tent 4P Slate Grey,"Fjellvind Tuuli Tunnel Tent for tents & shelters. 4P / Slate Grey. Built for Nordic conditions, season after season.",1,1,Tunnel Tent,4P,Slate Grey,pcs,1,1,1.502,true,,2025-06-05
61,FJV-TNT-0061,6402026000615,Fjellvind Tuuli Tunnel Tent 2P Slate Grey,Reliable tunnel tent from Fjellvind's Tuuli range. 2P / Slate Grey. A wholesale staple for outdoor retailers.,1,1,Tunnel Tent,2P,Slate Grey,pcs,1,1,1.705,true,,2026-01-01
62,FJV-TNT-0062,6402026000622,Fjellvind Kungsleden Footprint 4P Moss Green,"Fjellvind Kungsleden: a footprint that balances weight, durability and price. 4P / Moss Green. Retail-ready packaging.",1,1,Footprint,4P,Moss Green,pcs,1,1,0.495,true,,2021-12-28
63,FJV-TNT-0063,6402026000639,Fjellvind Kungsleden Footprint 1P Moss Green,The Kungsleden footprint by Fjellvind. 1P / Moss Green. Popular with rental outfitters and clubs.,1,1,Footprint,1P,Moss Green,pcs,1,1,1.604,true,,2022-06-19
64,FJV-TNT-0064,6402026000646,Fjellvind Kungsleden Footprint 3P Moss Green,"Fjellvind Kungsleden Footprint for tents & shelters. 3P / Moss Green. Built for Nordic conditions, season after season.",1,1,Footprint,3P,Moss Green,pcs,1,1,1.121,true,,2019-03-13
65,FJV-TNT-0065,6402026000653,Fjellvind Lyngen Bivy Forest,Reliable bivy from Fjellvind's Lyngen range. Forest. A wholesale staple for outdoor retailers.,1,1,Bivy,Forest,Forest,pcs,12,12,3.427,true,,2019-10-27
66,FJV-TNT-0066,6402026000660,Fjellvind Lyngen Bivy Moss Green,"Fjellvind Lyngen: a bivy that balances weight, durability and price. Moss Green. Retail-ready packaging.",1,1,Bivy,Moss Green,Moss Green,pcs,6,6,1.848,true,,2022-10-07
67,FJV-TNT-0067,6402026000677,Fjellvind Lyngen Bivy Burnt Orange,The Lyngen bivy by Fjellvind. Burnt Orange. Popular with rental outfitters and clubs.,1,1,Bivy,Burnt Orange,Burnt Orange,pcs,1,1,1.559,true,,2024-05-29
68,FJV-TNT-0068,6402026000684,Fjellvind Lyngen Bivy Ruby Red,"Fjellvind Lyngen Bivy for tents & shelters. Ruby Red. Built for Nordic conditions, season after season.",1,1,Bivy,Ruby Red,Ruby Red,pcs,1,1,0.931,true,,2023-10-24
69,FJV-TNT-0069,6402026000691,Fjellvind Trail Eco Bivy Slate Grey,Reliable bivy from Fjellvind's Trail Eco range. Slate Grey. A wholesale staple for outdoor retailers.,1,1,Bivy,Slate Grey,Slate Grey,pcs,12,12,1.026,true,,2025-03-24
70,FJV-TNT-0070,6402026000707,Fjellvind Trail Eco Bivy Deep Teal,"Fjellvind Trail Eco: a bivy that balances weight, durability and price. Deep Teal. Retail-ready packaging.",1,1,Bivy,Deep Teal,Deep Teal,pcs,12,12,3.214,true,,2019-01-07
71,FJV-TNT-0071,6402026000714,Fjellvind Trail Eco Bivy Moss Green,The Trail Eco bivy by Fjellvind. Moss Green. Popular with rental outfitters and clubs.,1,1,Bivy,Moss Green,Moss Green,pcs,6,6,1.774,true,,2024-04-28
72,FJV-TNT-0072,6402026000721,Fjellvind Bre XT Bivy Arctic White,"Fjellvind Bre XT Bivy for tents & shelters. Arctic White. Built for Nordic conditions, season after season.",1,1,Bivy,Arctic White,Arctic White,pcs,1,1,1.972,true,,2020-06-13
73,FJV-TNT-0073,6402026000738,Fjellvind Bre XT Bivy Forest,Reliable bivy from Fjellvind's Bre XT range. Forest. A wholesale staple for outdoor retailers.,1,1,Bivy,Forest,Forest,pcs,6,6,3.456,true,,2025-01-24
74,FJV-TNT-0074,6402026000745,Fjellvind Bre XT Bivy Moss Green,"Fjellvind Bre XT: a bivy that balances weight, durability and price. Moss Green. Retail-ready packaging.",1,1,Bivy,Moss Green,Moss Green,pcs,1,1,2.975,true,,2021-08-22
75,FJV-TNT-0075,6402026000752,Fjellvind Nuten Lite Bivy Black,The Nuten Lite bivy by Fjellvind. Black. Popular with rental outfitters and clubs.,1,1,Bivy,Black,Black,pcs,6,6,2.972,true,,2019-09-06
76,FJV-TNT-0076,6402026000769,Fjellvind Nuten Lite Bivy Ochre,"Fjellvind Nuten Lite Bivy for tents & shelters. Ochre. Built for Nordic conditions, season after season.",1,1,Bivy,Ochre,Ochre,pcs,1,1,2.989,true,,2021-06-20
77,FJV-TNT-0077,6402026000776,Fjellvind Nuten Lite Bivy Graphite,Reliable bivy from Fjellvind's Nuten Lite range. Graphite. A wholesale staple for outdoor retailers.,1,1,Bivy,Graphite,Graphite,pcs,1,1,0.651,true,,2024-11-20
78,FJV-TNT-0078,6402026000783,Fjellvind Lumi II Tarp Sand,"Fjellvind Lumi II: a tarp that balances weight, durability and price. Sand. Retail-ready packaging.",1,1,Tarp,Sand,Sand,pcs,1,1,2.207,true,,2025-07-22
79,FJV-TNT-0079,6402026000790,Fjellvind Lumi II Tarp Midnight Blue,The Lumi II tarp by Fjellvind. Midnight Blue. Popular with rental outfitters and clubs.,1,1,Tarp,Midnight Blue,Midnight Blue,pcs,12,12,1.665,true,,2023-04-26
80,FJV-TNT-0080,6402026000806,Fjellvind Lumi II Tarp Slate Grey,"Fjellvind Lumi II Tarp for tents & shelters. Slate Grey. Built for Nordic conditions, season after season.",1,1,Tarp,Slate Grey,Slate Grey,pcs,6,6,0.499,true,,2023-01-16
81,FJV-TNT-0081,6402026000813,Fjellvind Lumi II Tarp Graphite,Reliable tarp from Fjellvind's Lumi II range. Graphite. A wholesale staple for outdoor retailers.,1,1,Tarp,Graphite,Graphite,pcs,1,1,1.136,true,,2021-07-02
82,FJV-TNT-0082,6402026000820,Fjellvind Lumi II Tarp Petrol,"Fjellvind Lumi II: a tarp that balances weight, durability and price. Petrol. Retail-ready packaging.",1,1,Tarp,Petrol,Petrol,pcs,6,6,1.660,true,,2022-06-20
83,FJV-TNT-0083,6402026000837,Fjellvind Polar Pro Tent 4P Lichen,The Polar Pro tent by Fjellvind. 4P / Lichen. Popular with rental outfitters and clubs.,1,1,Tent,4P,Lichen,pcs,1,1,5.546,true,,2019-02-27
84,FJV-TNT-0084,6402026000844,Fjellvind Polar Pro Tent 1P Lichen,"Fjellvind Polar Pro Tent for tents & shelters. 1P / Lichen. Built for Nordic conditions, season after season.",1,1,Tent,1P,Lichen,pcs,1,1,2.833,true,,2021-01-27
85,FJV-TNT-0085,6402026000851,Fjellvind Polar Pro Tent 3P Lichen,Reliable tent from Fjellvind's Polar Pro range. 3P / Lichen. A wholesale staple for outdoor retailers.,1,1,Tent,3P,Lichen,pcs,1,1,4.710,true,,2026-02-28
86,FJV-TNT-0086,6402026000868,Fjellvind Polar Pro Tent 2P Lichen,"Fjellvind Polar Pro: a tent that balances weight, durability and price. 2P / Lichen. Retail-ready packaging.",1,1,Tent,2P,Lichen,pcs,12,12,2.541,true,,2024-07-11
87,FJV-TNT-0087,6402026000875,Fjellvind Hav Bivy Midnight Blue,The Hav bivy by Fjellvind. Midnight Blue. Popular with rental outfitters and clubs.,1,1,Bivy,Midnight Blue,Midnight Blue,pcs,1,1,1.431,true,,2022-07-14
88,FJV-TNT-0088,6402026000882,Fjellvind Hav Bivy Burnt Orange,"Fjellvind Hav Bivy for tents & shelters. Burnt Orange. Built for Nordic conditions, season after season.",1,1,Bivy,Burnt Orange,Burnt Orange,pcs,1,1,3.180,true,,2020-03-13
89,FJV-TNT-0089,6402026000899,Fjellvind Kebne WP Tunnel Tent 3P Ruby Red,Reliable tunnel tent from Fjellvind's Kebne WP range. 3P / Ruby Red. A wholesale staple for outdoor retailers.,1,1,Tunnel Tent,3P,Ruby Red,pcs,1,1,2.981,true,,2026-02-12
90,FJV-TNT-0090,6402026000905,Fjellvind Kebne WP Tunnel Tent 1P Ruby Red,"Fjellvind Kebne WP: a tunnel tent that balances weight, durability and price. 1P / Ruby Red. Retail-ready packaging.",1,1,Tunnel Tent,1P,Ruby Red,pcs,1,1,5.101,true,,2025-04-08
91,FJV-SLP-0001,6402026000912,Fjellvind Ultra Lite Synthetic Sleeping Bag 0°C Midnight Blue,The Ultra Lite synthetic sleeping bag by Fjellvind. 0°C / Midnight Blue. Popular with rental outfitters and clubs.,2,1,Synthetic Sleeping Bag,0°C,Midnight Blue,pcs,6,6,1.431,true,,2021-06-22
92,FJV-SLP-0002,6402026000929,Fjellvind Ultra Lite Synthetic Sleeping Bag +5°C Midnight Blue,"Fjellvind Ultra Lite Synthetic Sleeping Bag for sleeping bags & mats. +5°C / Midnight Blue. Built for Nordic conditions, season after season.",2,1,Synthetic Sleeping Bag,+5°C,Midnight Blue,pcs,1,1,1.136,true,,2025-07-13
93,FJV-SLP-0003,6402026000936,Fjellvind Storm XT Bag Liner Sand,Reliable bag liner from Fjellvind's Storm XT range. Sand. A wholesale staple for outdoor retailers.,2,1,Bag Liner,Sand,Sand,pcs,1,1,0.205,true,,2022-08-25
94,FJV-SLP-0004,6402026000943,Fjellvind Storm XT Bag Liner Black,"Fjellvind Storm XT: a bag liner that balances weight, durability and price. Black. Retail-ready packaging.",2,1,Bag Liner,Black,Black,pcs,6,6,0.137,true,,2026-02-09
95,FJV-SLP-0005,6402026000950,Fjellvind Storm XT Bag Liner Ruby Red,The Storm XT bag liner by Fjellvind. Ruby Red. Popular with rental outfitters and clubs.,2,1,Bag Liner,Ruby Red,Ruby Red,pcs,12,12,0.561,true,,2022-04-30
96,FJV-SLP-0006,6402026000967,Fjellvind Snøhetta 2.0 Sleeping Mat Sand,"Fjellvind Snøhetta 2.0 Sleeping Mat for sleeping bags & mats. Sand. Built for Nordic conditions, season after season.",2,1,Sleeping Mat,Sand,Sand,pcs,1,1,0.375,true,,2025-08-13
97,FJV-SLP-0007,6402026000974,Fjellvind Snøhetta 2.0 Sleeping Mat Slate Grey,Reliable sleeping mat from Fjellvind's Snøhetta 2.0 range. Slate Grey. A wholesale staple for outdoor retailers.,2,1,Sleeping Mat,Slate Grey,Slate Grey,pcs,1,1,1.062,true,,2020-01-09
98,FJV-SLP-0008,6402026000981,Fjellvind Nordic XT Bag Liner Black,"Fjellvind Nordic XT: a bag liner that balances weight, durability and price. Black. Retail-ready packaging.",2,1,Bag Liner,Black,Black,pcs,6,6,0.439,true,,2022-05-04
99,FJV-SLP-0009,6402026000998,Fjellvind Nordic XT Bag Liner Midnight Blue,The Nordic XT bag liner by Fjellvind. Midnight Blue. Popular with rental outfitters and clubs.,2,1,Bag Liner,Midnight Blue,Midnight Blue,pcs,1,1,0.305,true,,2019-10-24
100,FJV-SLP-0010,6402026001001,Fjellvind Nordic XT Bag Liner Sand,"Fjellvind Nordic XT Bag Liner for sleeping bags & mats. Sand. Built for Nordic conditions, season after season.",2,1,Bag Liner,Sand,Sand,pcs,12,12,0.602,true,,2022-08-24
101,FJV-SLP-0011,6402026001018,Fjellvind Nordic XT Bag Liner Arctic White,Reliable bag liner from Fjellvind's Nordic XT range. Arctic White. A wholesale staple for outdoor retailers.,2,1,Bag Liner,Arctic White,Arctic White,pcs,1,1,0.433,true,,2022-12-25
102,FJV-SLP-0012,6402026001025,Fjellvind Nordic XT Bag Liner Graphite,"Fjellvind Nordic XT: a bag liner that balances weight, durability and price. Graphite. Retail-ready packaging.",2,1,Bag Liner,Graphite,Graphite,pcs,1,1,0.377,true,,2023-03-08
103,FJV-SLP-0013,6402026001032,Fjellvind Padjelanta Pro Sleeping Mat Midnight Blue,The Padjelanta Pro sleeping mat by Fjellvind. Midnight Blue. Popular with rental outfitters and clubs.,2,1,Sleeping Mat,Midnight Blue,Midnight Blue,pcs,6,6,0.414,true,,2022-06-20
